Type,Library,Filename,Time (ms),FileSize (byte)
1. Parse,ULib (C++),exchange_info.json,5.727000,0
1. Parse,ULib (C++),canada.json,3.451000,0
1. Parse,ULib (C++),citm_catalog.json,2.727000,0
1. Parse,ULib (C++),twitter.json,1.012000,0
1. Parse,ULib (C++),orderBook_ETHBTC_limit_1000.json,0.180000,0
1. Parse,ULib (C++),orderBook_ETHBTC_limit_2500.json,0.018000,0
1. Parse,ULib (C++),orderBook_ETHBTC_limit_5000.json,0.908000,0
1. Parse,ULib (C++),recent_trades_ETHBTC_limit_5000.json,0.287000,0
1. Parse,ULib (C++),average_price_ETHBTC.json,0.000000,0
1. Parse,ULib (C++),orderBook_ADABTC_limit_1000.json,0.193000,0
1. Parse,ULib (C++),orderBook_ADABTC_limit_2500.json,0.019000,0
1. Parse,ULib (C++),orderBook_ADABTC_limit_5000.json,0.864000,0
1. Parse,ULib (C++),recent_trades_ADABTC_limit_5000.json,0.291000,0
1. Parse,ULib (C++),average_price_ADABTC.json,0.000000,0
1. Parse,ULib (C++),orderBook_AVAXBTC_limit_1000.json,0.183000,0
1. Parse,ULib (C++),orderBook_AVAXBTC_limit_2500.json,0.019000,0
1. Parse,ULib (C++),orderBook_AVAXBTC_limit_5000.json,0.558000,0
1. Parse,ULib (C++),recent_trades_AVAXBTC_limit_5000.json,0.287000,0
1. Parse,ULib (C++),average_price_AVAXBTC.json,0.000000,0
1. Parse,ULib (C++),orderBook_DOTBTC_limit_1000.json,0.183000,0
1. Parse,ULib (C++),orderBook_DOTBTC_limit_2500.json,0.019000,0
1. Parse,ULib (C++),orderBook_DOTBTC_limit_5000.json,0.926000,0
1. Parse,ULib (C++),recent_trades_DOTBTC_limit_5000.json,0.290000,0
1. Parse,ULib (C++),average_price_DOTBTC.json,0.000000,0
1. Parse,ULib (C++),orderBook_LTCBTC_limit_1000.json,0.186000,0
1. Parse,ULib (C++),orderBook_LTCBTC_limit_2500.json,0.019000,0
1. Parse,ULib (C++),orderBook_LTCBTC_limit_5000.json,0.568000,0
1. Parse,ULib (C++),recent_trades_LTCBTC_limit_5000.json,0.288000,0
1. Parse,ULib (C++),average_price_LTCBTC.json,0.000000,0
1. Parse,ULib (C++),orderBook_LUNABNB_limit_1000.json,0.136000,0
1. Parse,ULib (C++),orderBook_LUNABNB_limit_2500.json,0.019000,0
1. Parse,ULib (C++),orderBook_LUNABNB_limit_5000.json,0.136000,0
1. Parse,ULib (C++),recent_trades_LUNABNB_limit_5000.json,0.290000,0
1. Parse,ULib (C++),average_price_LUNABNB.json,0.000000,0
1. Parse,ULib (C++),orderBook_SOLBNB_limit_1000.json,0.181000,0
