Type,Library,Filename,Time (ms),FileSize (byte)
1. Parse,ULib (C++),exchange_info.json,5.631000,0
1. Parse,ULib (C++),orderBook_ETHBTC_limit_250.json,0.018000,0
1. Parse,ULib (C++),orderBook_ETHBTC_limit_500.json,0.018000,0
1. Parse,ULib (C++),orderBook_ETHBTC_limit_1000.json,0.018000,0
1. Parse,ULib (C++),orderBook_ETHBTC_limit_2500.json,0.018000,0
1. Parse,ULib (C++),orderBook_ETHBTC_limit_5000.json,0.018000,0
1. Parse,ULib (C++),recent_trades_ETHBTC_limit_1000.json,0.288000,0
1. Parse,ULib (C++),average_price_ETHBTC.json,0.000000,0
1. Parse,ULib (C++),orderBook_ADABTC_limit_250.json,0.019000,0
1. Parse,ULib (C++),orderBook_ADABTC_limit_500.json,0.019000,0
1. Parse,ULib (C++),orderBook_ADABTC_limit_1000.json,0.020000,0
1. Parse,ULib (C++),orderBook_ADABTC_limit_2500.json,0.019000,0
1. Parse,ULib (C++),orderBook_ADABTC_limit_5000.json,0.019000,0
1. Parse,ULib (C++),recent_trades_ADABTC_limit_1000.json,0.292000,0
1. Parse,ULib (C++),average_price_ADABTC.json,0.000000,0
1. Parse,ULib (C++),orderBook_AVAXBTC_limit_250.json,0.018000,0
1. Parse,ULib (C++),orderBook_AVAXBTC_limit_500.json,0.018000,0
1. Parse,ULib (C++),orderBook_AVAXBTC_limit_1000.json,0.019000,0
1. Parse,ULib (C++),orderBook_AVAXBTC_limit_2500.json,0.018000,0
1. Parse,ULib (C++),orderBook_AVAXBTC_limit_5000.json,0.019000,0
1. Parse,ULib (C++),recent_trades_AVAXBTC_limit_1000.json,0.286000,0
1. Parse,ULib (C++),average_price_AVAXBTC.json,0.000000,0
1. Parse,ULib (C++),orderBook_DOTBTC_limit_250.json,0.019000,0
1. Parse,ULib (C++),orderBook_DOTBTC_limit_500.json,0.019000,0
1. Parse,ULib (C++),orderBook_DOTBTC_limit_1000.json,0.019000,0
1. Parse,ULib (C++),orderBook_DOTBTC_limit_2500.json,0.019000,0
1. Parse,ULib (C++),orderBook_DOTBTC_limit_5000.json,0.019000,0
1. Parse,ULib (C++),recent_trades_DOTBTC_limit_1000.json,0.289000,0
1. Parse,ULib (C++),average_price_DOTBTC.json,0.000000,0
1. Parse,ULib (C++),orderBook_LTCBTC_limit_250.json,0.019000,0
1. Parse,ULib (C++),orderBook_LTCBTC_limit_500.json,0.019000,0
1. Parse,ULib (C++),orderBook_LTCBTC_limit_1000.json,0.019000,0
1. Parse,ULib (C++),orderBook_LTCBTC_limit_2500.json,0.019000,0
1. Parse,ULib (C++),orderBook_LTCBTC_limit_5000.json,0.019000,0
1. Parse,ULib (C++),recent_trades_LTCBTC_limit_1000.json,0.289000,0
1. Parse,ULib (C++),average_price_LTCBTC.json,0.000000,0
1. Parse,ULib (C++),orderBook_LUNABNB_limit_250.json,0.019000,0
1. Parse,ULib (C++),orderBook_LUNABNB_limit_500.json,0.019000,0
1. Parse,ULib (C++),orderBook_LUNABNB_limit_1000.json,0.019000,0
1. Parse,ULib (C++),orderBook_LUNABNB_limit_2500.json,0.019000,0
1. Parse,ULib (C++),orderBook_LUNABNB_limit_5000.json,0.019000,0
1. Parse,ULib (C++),recent_trades_LUNABNB_limit_1000.json,0.289000,0
1. Parse,ULib (C++),average_price_LUNABNB.json,0.000000,0
1. Parse,ULib (C++),orderBook_SOLBNB_limit_250.json,0.018000,0
1. Parse,ULib (C++),orderBook_SOLBNB_limit_500.json,0.018000,0
1. Parse,ULib (C++),orderBook_SOLBNB_limit_1000.json,0.018000,0
1. Parse,ULib (C++),orderBook_SOLBNB_limit_2500.json,0.018000,0
1. Parse,ULib (C++),orderBook_SOLBNB_limit_5000.json,0.018000,0
1. Parse,ULib (C++),recent_trades_SOLBNB_limit_1000.json,0.287000,0
1. Parse,ULib (C++),average_price_SOLBNB.json,0.000000,0
1. Parse,ULib (C++),orderBook_BAKEBNB_limit_250.json,0.018000,0
1. Parse,ULib (C++),orderBook_BAKEBNB_limit_500.json,0.019000,0
1. Parse,ULib (C++),orderBook_BAKEBNB_limit_1000.json,0.019000,0
1. Parse,ULib (C++),orderBook_BAKEBNB_limit_2500.json,0.019000,0
1. Parse,ULib (C++),orderBook_BAKEBNB_limit_5000.json,0.019000,0
1. Parse,ULib (C++),recent_trades_BAKEBNB_limit_1000.json,0.290000,0
1. Parse,ULib (C++),average_price_BAKEBNB.json,0.000000,0
1. Parse,ULib (C++),orderBook_BTCBUSD_limit_250.json,0.018000,0
1. Parse,ULib (C++),orderBook_BTCBUSD_limit_500.json,0.018000,0
1. Parse,ULib (C++),orderBook_BTCBUSD_limit_1000.json,0.018000,0
1. Parse,ULib (C++),orderBook_BTCBUSD_limit_2500.json,0.018000,0
